table_schema,table_name,column_name,data_type,is_nullable,column_default
public,addresses,id,uuid,NO,gen_random_uuid()
public,addresses,user_id,uuid,NO,null
public,addresses,title,text,NO,null
public,addresses,street,text,NO,null
public,addresses,city,text,NO,null
public,addresses,state,text,YES,null
public,addresses,postal_code,text,YES,null
public,addresses,country,text,NO,null
public,addresses,is_default,boolean,YES,false
public,addresses,created_at,timestamp with time zone,NO,now()
public,addresses,updated_at,timestamp with time zone,NO,now()
public,cart_items,id,uuid,NO,gen_random_uuid()
public,cart_items,user_id,uuid,NO,null
public,cart_items,product_id,uuid,NO,null
public,cart_items,quantity,integer,NO,1
public,cart_items,created_at,timestamp with time zone,NO,now()
public,cart_items,updated_at,timestamp with time zone,NO,now()
public,categories,id,uuid,NO,gen_random_uuid()
public,categories,slug,text,NO,null
public,categories,icon,text,YES,null
public,categories,image_url,text,YES,null
public,categories,created_at,timestamp with time zone,NO,now()
public,categories,updated_at,timestamp with time zone,NO,now()
public,category_translations,id,uuid,NO,gen_random_uuid()
public,category_translations,category_id,uuid,NO,null
public,category_translations,language_code,USER-DEFINED,NO,null
public,category_translations,name,text,NO,null
public,category_translations,description,text,YES,null
public,coupons,id,uuid,NO,gen_random_uuid()
public,coupons,code,text,NO,null
public,coupons,discount_type,text,NO,null
public,coupons,discount_value,numeric,NO,null
public,coupons,min_purchase,numeric,YES,null
public,coupons,max_discount,numeric,YES,null
public,coupons,expire_at,timestamp with time zone,NO,null
public,coupons,is_active,boolean,YES,true
public,coupons,usage_limit,integer,YES,null
public,coupons,usage_count,integer,YES,0
public,coupons,created_at,timestamp with time zone,NO,now()
public,order_items,id,uuid,NO,gen_random_uuid()
public,order_items,order_id,uuid,NO,null
public,order_items,product_id,uuid,YES,null
public,order_items,store_id,uuid,YES,null
public,order_items,quantity,integer,NO,null
public,order_items,price,numeric,NO,null
public,order_items,total,numeric,NO,null
public,order_items,product_name,text,NO,null
public,order_items,product_image,text,YES,null
public,orders,id,uuid,NO,gen_random_uuid()
public,orders,user_id,uuid,YES,null
public,orders,address_id,uuid,YES,null
public,orders,coupon_id,uuid,YES,null
public,orders,status,text,NO,'pending'::text
public,orders,subtotal,numeric,NO,null
public,orders,discount,numeric,YES,0
public,orders,shipping,numeric,YES,0
public,orders,total,numeric,NO,null
public,orders,payment_method,text,YES,null
public,orders,payment_status,text,YES,'pending'::text
public,orders,notes,text,YES,null
public,orders,created_at,timestamp with time zone,NO,now()
public,orders,updated_at,timestamp with time zone,NO,now()
public,product_translations,id,uuid,NO,gen_random_uuid()
public,product_translations,product_id,uuid,NO,null
public,product_translations,language_code,USER-DEFINED,NO,null
public,product_translations,name,text,NO,null
public,product_translations,description,text,YES,null
public,products,id,uuid,NO,gen_random_uuid()
public,products,store_id,uuid,NO,null
public,products,category_id,uuid,YES,null
public,products,slug,text,NO,null
public,products,price,numeric,NO,null
public,products,original_price,numeric,YES,null
public,products,stock,integer,NO,0
public,products,image_url,text,YES,null
public,products,gallery_urls,ARRAY,YES,null
public,products,rating,numeric,YES,0
public,products,reviews_count,integer,YES,0
public,products,is_featured,boolean,YES,false
public,products,created_at,timestamp with time zone,NO,now()
public,products,updated_at,timestamp with time zone,NO,now()
public,profiles,id,uuid,NO,null
public,profiles,email,text,YES,null
public,profiles,full_name,text,YES,null
public,profiles,avatar_url,text,YES,null
public,profiles,created_at,timestamp with time zone,NO,now()
public,profiles,updated_at,timestamp with time zone,NO,now()
public,reviews,id,uuid,NO,gen_random_uuid()
public,reviews,product_id,uuid,NO,null
public,reviews,user_id,uuid,YES,null
public,reviews,rating,integer,NO,null
public,reviews,comment,text,YES,null
public,reviews,created_at,timestamp with time zone,NO,now()
public,store_translations,id,uuid,NO,gen_random_uuid()
public,store_translations,store_id,uuid,NO,null
public,store_translations,language_code,USER-DEFINED,NO,null
public,store_translations,name,text,NO,null
public,store_translations,description,text,YES,null
public,stores,id,uuid,NO,gen_random_uuid()
public,stores,slug,text,NO,null
